subject,body,label
Confirm your password or lose access forever,"Dear valued customer, please confirm your password to avoid service disruption. Submit here: http://phishing-site.com/form",1
Project update - Q3 roadmap,"Hi, I've updated the project timeline. Please review and provide feedback by Friday.",0
Security alert: unauthorized login detected,WARNING: Someone tried to access your account from Russia. Click here to verify your identity: http://verify-paypal.tk/secure,1
You won $1000 - claim your prize NOW,You are a lucky winner! Get your free iPhone by clicking: http://192.168.5.5/free-iphone.html. Act fast!!!,1
Your account has been suspended - click here now,We detected suspicious activity. Click this link immediately to secure your account: http://suspicious-bank.xyz/login,1
Happy birthday!,Wishing you a wonderful birthday! Hope you have a great celebration.,0
Your account has been suspended - click here now,We detected suspicious activity. Click this link immediately to secure your account: http://suspicious-bank.xyz/login,1
Free gift card waiting - claim in 24 hours!!!,Congratulations! You've won a $1000 gift card. Claim now at http://free-gift-site.com/claim?user=you. Limited time!!!,1
Coffee chat this Friday?,Would you be free for a quick coffee chat this Friday afternoon? No pressure!,0
Happy birthday!,Wishing you a wonderful birthday! Hope you have a great celebration.,0
Package delivery confirmation,Your package has been delivered to your front porch. Let us know if you need anything else.,0
Weekly team meeting tomorrow at 10am,"Hi team, just a reminder about our weekly standup tomorrow. Please come prepared with your updates.",0
Action required: update payment information,Your payment failed. Update your credit card immediately: http://secure-bank-update.com/payment. Don't lose access!!!,1
Coffee chat this Friday?,Would you be free for a quick coffee chat this Friday afternoon? No pressure!,0
Action required: update payment information,Your payment failed. Update your credit card immediately: http://secure-bank-update.com/payment. Don't lose access!!!,1
Newsletter: March 2024 updates,"Here are our March updates: new features, upcoming events, and community highlights.",0
Click here to avoid account deletion,FINAL NOTICE: Account deletion scheduled. Click here to stop it: http://urgent-verify.com/stop-delete?token=abc123,1
Package delivery confirmation,Your package has been delivered to your front porch. Let us know if you need anything else.,0
Happy birthday!,Wishing you a wonderful birthday! Hope you have a great celebration.,0
Meeting notes from yesterday,Attached are the meeting notes from yesterday's session. Action items are highlighted.,0
Weekly team meeting tomorrow at 10am,"Hi team, just a reminder about our weekly standup tomorrow. Please come prepared with your updates.",0
Meeting notes from yesterday,Attached are the meeting notes from yesterday's session. Action items are highlighted.,0
Limited offer: free iPhone for first 100 users!!!,Exclusive offer! Free vacation package. Click now: http://192.168.99.99/vacation-free. Only 24 hours left!!!,1
Free gift card waiting - claim in 24 hours!!!,Congratulations! You've won a $1000 gift card. Claim now at http://free-gift-site.com/claim?user=you. Limited time!!!,1
Weekly team meeting tomorrow at 10am,"Hi team, just a reminder about our weekly standup tomorrow. Please come prepared with your updates.",0
Invoice #12345 for your recent purchase,Thank you for your purchase. Your invoice is attached. Please let us know if you have any questions.,0
Package delivery confirmation,Your package has been delivered to your front porch. Let us know if you need anything else.,0
Limited offer: free iPhone for first 100 users!!!,Exclusive offer! Free vacation package. Click now: http://192.168.99.99/vacation-free. Only 24 hours left!!!,1
Project update - Q3 roadmap,"Hi, I've updated the project timeline. Please review and provide feedback by Friday.",0
Limited offer: free iPhone for first 100 users!!!,Exclusive offer! Free vacation package. Click now: http://192.168.99.99/vacation-free. Only 24 hours left!!!,1
Free gift card waiting - claim in 24 hours!!!,Congratulations! You've won a $1000 gift card. Claim now at http://free-gift-site.com/claim?user=you. Limited time!!!,1
Weekly team meeting tomorrow at 10am,"Hi team, just a reminder about our weekly standup tomorrow. Please come prepared with your updates.",0
Limited offer: free iPhone for first 100 users!!!,Exclusive offer! Free vacation package. Click now: http://192.168.99.99/vacation-free. Only 24 hours left!!!,1
Limited offer: free iPhone for first 100 users!!!,Exclusive offer! Free vacation package. Click now: http://192.168.99.99/vacation-free. Only 24 hours left!!!,1
Please review the attached document,Please find the document attached for your review. Looking forward to your feedback.,0
Security alert: unauthorized login detected,WARNING: Someone tried to access your account from Russia. Click here to verify your identity: http://verify-paypal.tk/secure,1
Meeting notes from yesterday,Attached are the meeting notes from yesterday's session. Action items are highlighted.,0
Invoice #12345 for your recent purchase,Thank you for your purchase. Your invoice is attached. Please let us know if you have any questions.,0
Security alert: unauthorized login detected,WARNING: Someone tried to access your account from Russia. Click here to verify your identity: http://verify-paypal.tk/secure,1
Coffee chat this Friday?,Would you be free for a quick coffee chat this Friday afternoon? No pressure!,0
Security alert: unauthorized login detected,WARNING: Someone tried to access your account from Russia. Click here to verify your identity: http://verify-paypal.tk/secure,1
Your PayPal account needs verification,PayPal Alert: Your account is limited. Click to restore access: http://paypa1-security.com/restore,1
Click here to avoid account deletion,FINAL NOTICE: Account deletion scheduled. Click here to stop it: http://urgent-verify.com/stop-delete?token=abc123,1
Click here to avoid account deletion,FINAL NOTICE: Account deletion scheduled. Click here to stop it: http://urgent-verify.com/stop-delete?token=abc123,1
Your Amazon order has shipped,Your order #ORD-98765 has been shipped via FedEx. Track it at fedex.com/tracking.,0
Your account has been suspended - click here now,We detected suspicious activity. Click this link immediately to secure your account: http://suspicious-bank.xyz/login,1
Confirm your password or lose access forever,"Dear valued customer, please confirm your password to avoid service disruption. Submit here: http://phishing-site.com/form",1
URGENT: Verify your account immediately!!!,"Dear user, your account will be suspended in 24 hours. Click here to verify: http://192.168.1.1/login.html. URGENT!!!",1
Coffee chat this Friday?,Would you be free for a quick coffee chat this Friday afternoon? No pressure!,0
Click here to avoid account deletion,FINAL NOTICE: Account deletion scheduled. Click here to stop it: http://urgent-verify.com/stop-delete?token=abc123,1
Your Amazon order has shipped,Your order #ORD-98765 has been shipped via FedEx. Track it at fedex.com/tracking.,0
Happy birthday!,Wishing you a wonderful birthday! Hope you have a great celebration.,0
Please review the attached document,Please find the document attached for your review. Looking forward to your feedback.,0
Free gift card waiting - claim in 24 hours!!!,Congratulations! You've won a $1000 gift card. Claim now at http://free-gift-site.com/claim?user=you. Limited time!!!,1
